x,y,z,name,state
7.01,23.48,54.54,h_009.JPG,1
3.29,23.78,54.68,h_010.JPG,1
4.12,21.38,54.53,h_013.JPG,1
7.28,21.28,54.86,h_014.JPG,1
10.32,21.08,55.04,h_015.JPG,1
13.2,21.08,55.07,h_016.JPG,1
16.09,21.08,55.08,h_017.JPG,1
18.99,21.18,55.1,h_018.JPG,1
21.89,21.28,55.12,h_019.JPG,1
24.91,21.58,55.29,h_020.JPG,1
28.08,21.98,55.63,h_021.JPG,1
32.08,22.48,55.82,h_022.JPG,1
32.08,19.88,55.82,h_023.JPG,1
28.08,19.58,55.63,h_024.JPG,1
25.06,19.38,55.46,h_025.JPG,1
22.02,19.18,55.28,h_026.JPG,1
18.99,19.18,55.1,h_027.JPG,1
16.09,19.08,55.08,h_028.JPG,1
13.34,19.08,55.23,h_029.JPG,1
10.45,19.08,55.2,h_030.JPG,1
7.42,19.18,55.02,h_031.JPG,1
4.39,19.28,54.85,h_032.JPG,1
1.22,19.48,54.51,h_033.JPG,1
1.36,17.28,54.67,h_034.JPG,1
5.08,17.18,54.54,h_035.JPG,1
8.1,17.18,54.71,h_036.JPG,1
11,17.08,54.73,h_037.JPG,1
13.34,17.18,55.23,h_038.JPG,1
16.23,17.18,55.24,h_039.JPG,1
19.13,17.08,55.26,h_040.JPG,1
22.02,17.18,55.28,h_041.JPG,0
25.06,17.18,55.46,h_042.JPG,1
28.22,17.28,55.79,h_043.JPG,1
32.08,17.48,55.82,h_044.JPG,1
32.08,15.08,55.82,h_045.JPG,1
28.08,15.08,55.63,h_046.JPG,1
25.06,15.18,55.46,h_047.JPG,1
22.02,15.18,55.28,h_048.JPG,1
19.13,15.18,55.26,h_049.JPG,1
16.23,15.28,55.24,h_050.JPG,1
13.34,15.18,55.23,h_051.JPG,1
11,15.18,54.73,h_052.JPG,1
8.1,15.28,54.71,h_053.JPG,1
5.08,15.18,54.54,h_054.JPG,1
1.5,15.18,54.83,h_055.JPG,1
1.36,12.98,54.67,h_056.JPG,1
4.53,13.08,55.01,h_057.JPG,1
8.1,13.18,54.71,h_058.JPG,1
10.45,13.28,55.2,h_059.JPG,1
13.34,13.28,55.23,h_060.JPG,1
16.23,13.28,55.24,h_061.JPG,1
19.13,13.28,55.26,h_062.JPG,1
21.48,13.18,55.75,h_063.JPG,1
25.06,13.08,55.46,h_064.JPG,1
28.08,12.88,55.63,h_065.JPG,1
31.94,12.68,55.66,h_066.JPG,1
32.08,10.18,55.82,h_067.JPG,1
